title,release_date,platforms,developer,publisher,genre,score,key_features,url,image_url
Elden Ring,2022-02-25,"Xbox One, PC, PlayStation 4, Xbox Series X, PlayStation 5",Not Available,Bandai Namco Games,Action RPG,96,"A New World Created By Hidetaka Miyazaki And George R. R. Martin

ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. 

Hidetaka Miyazaki, Pr",https://www.metacritic.com/game/elden-ring/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-824956-52.jpg
Baldur's Gate 3,2023-08-03,"PC, PlayStation 5, Xbox Series X",Not Available,Larian Studios Games,Western RPG,96,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption,",https://www.metacritic.com/game/baldurs-gate-3/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-715253-52.jpg
The Legend of Zelda: Breath of the Wild,2017-03-03,"Wii U, Nintendo Switch",Not Available,Nintendo,Open-World Action,97,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderne",https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-624954-52.jpg
Red Dead Redemption 2,2018-10-26,"PlayStation 4, Xbox One, PC",Not Available,Rockstar Games,Open-World Action,97,"Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters",https://www.metacritic.com/game/red-dead-redemption-2/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-689098-52.jpg
Grand Theft Auto V,2014-11-18,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X",Not Available,Rockstar Games,Open-World Action,97,"Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success:  Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot ",https://www.metacritic.com/game/grand-theft-auto-v/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-489951-52.jpg
The Witcher 3: Wild Hunt,2015-05-19,"PC, Xbox One, PlayStation 4, Nintendo Switch",Not Available,Warner Bros. Interactive Entertainment,Action RPG,92,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.",https://www.metacritic.com/game/the-witcher-3-wild-hunt/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-518832-52.jpg
God of War,2018-04-20,"PlayStation 4, PC",Not Available,Sony Interactive Entertainment,Linear Action Adventure,94,"His vengeance against the gods of Olympus far behind him, Kratos now lives as a man in the lands of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same. As mentor and protector to a son determined to earn his respect, Kratos is faced with an unexpected opportunity to master the rage that has long defined him. Questioning the dark lineage he’s passed on to his son, he hopes to make amends for the shortcomings of his past.",https://www.metacritic.com/game/god-of-war/,https://www.metacritic.com/a/img/catalog/provider/7/2/7-1696556520.jpg
Hades,2020-09-17,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",Not Available,Supergiant Games,Action RPG,93,Defy the god of death as you hack and slash your way out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion and Transistor.,https://www.metacritic.com/game/hades/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-735556-52.jpg
Disco Elysium,2019-10-15,PC,Not Available,ZA/UM,Western RPG,91,"Disco Elysium is an open world role playing game. You’re a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. ",https://www.metacritic.com/game/disco-elysium/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-756054-52.jpg
The Last of Us,2013-06-14,PlayStation 3,Not Available,SCEA,Linear Action Adventure,95,"Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country.",https://www.metacritic.com/game/the-last-of-us/,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-216299-52.jpg
